x,f(n),f(n)/n,f(n)-f(n-1)
1,2,2,
2,3,1.5,1
3,6,2,3
4,7,1.75,1
5,8,1.6,1
6,9,1.5,1
7,12,1.714285714,3
8,15,1.875,3
9,18,2,3
10,19,1.9,1
11,20,1.818181818,1
12,21,1.75,1
13,22,1.692307692,1
14,23,1.642857143,1
15,24,1.6,1
16,25,1.5625,1
17,26,1.529411765,1
18,27,1.5,1
19,30,1.578947368,3
20,33,1.65,3
21,36,1.714285714,3
22,39,1.772727273,3
23,42,1.826086957,3
24,45,1.875,3
25,48,1.92,3
26,51,1.961538462,3
27,54,2,3
28,55,1.964285714,1
29,56,1.931034483,1
30,57,1.9,1
31,58,1.870967742,1
32,59,1.84375,1
33,60,1.818181818,1
34,61,1.794117647,1
35,62,1.771428571,1
36,63,1.75,1
37,64,1.72972973,1
38,65,1.710526316,1
39,66,1.692307692,1
40,67,1.675,1
41,68,1.658536585,1
42,69,1.642857143,1
43,70,1.627906977,1
44,71,1.613636364,1
45,72,1.6,1
46,73,1.586956522,1
47,74,1.574468085,1
48,75,1.5625,1
49,76,1.551020408,1
50,77,1.54,1
51,78,1.529411765,1
52,79,1.519230769,1
53,80,1.509433962,1
54,81,1.5,1
55,84,1.527272727,3
56,87,1.553571429,3
57,90,1.578947368,3
58,93,1.603448276,3
59,96,1.627118644,3
60,99,1.65,3
61,102,1.672131148,3
62,105,1.693548387,3
63,108,1.714285714,3
64,111,1.734375,3
65,114,1.753846154,3
66,117,1.772727273,3
67,120,1.791044776,3
68,123,1.808823529,3
69,126,1.826086957,3
70,129,1.842857143,3
71,132,1.85915493,3
72,135,1.875,3
73,138,1.890410959,3
74,141,1.905405405,3
75,144,1.92,3
76,147,1.934210526,3
77,150,1.948051948,3
78,153,1.961538462,3
79,156,1.974683544,3
80,159,1.9875,3
81,162,2,3
82,163,1.987804878,1
83,164,1.975903614,1
84,165,1.964285714,1
85,166,1.952941176,1
86,167,1.941860465,1
87,168,1.931034483,1
88,169,1.920454545,1
89,170,1.91011236,1
90,171,1.9,1
91,172,1.89010989,1
92,173,1.880434783,1
93,174,1.870967742,1
94,175,1.861702128,1
95,176,1.852631579,1
96,177,1.84375,1
97,178,1.835051546,1
98,179,1.826530612,1
99,180,1.818181818,1
100,181,1.81,1
101,182,1.801980198,1
102,183,1.794117647,1
105,186,1.771428571,
108,189,1.75,
111,192,1.72972973,
114,195,1.710526316,
117,198,1.692307692,
120,201,1.675,
123,204,1.658536585,
126,207,1.642857143,
129,210,1.627906977,
132,213,1.613636364,
135,216,1.6,
138,219,1.586956522,
141,222,1.574468085,
144,225,1.5625,
147,228,1.551020408,
150,231,1.54,
153,234,1.529411765,
156,237,1.519230769,
159,240,1.509433962,
162,243,1.5,
163,246,1.509202454,
164,249,1.518292683,
165,252,1.527272727,
166,255,1.536144578,
167,258,1.54491018,
168,261,1.553571429,
169,264,1.562130178,
170,267,1.570588235,
171,270,1.578947368,
172,273,1.587209302,
173,276,1.595375723,
174,279,1.603448276,
175,282,1.611428571,
176,285,1.619318182,
177,288,1.627118644,
178,291,1.634831461,
179,294,1.642458101,
180,297,1.65,
181,300,1.657458564,
182,303,1.664835165,
183,306,1.672131148,
